Year,Rank,Country name,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,"School enrollment, tertiary (% gross)","School enrollment, secondary (% gross)"
2020,88,Nepal,5.269,5.406,5.132,0.519,0.702,0.496,0.488,0.287,0.135,2.642,13.9312324523926,84.5885009765625
2019,92,Nepal,5.13719987869263,5.25027656555176,5.0241231918335,0.444050371646881,1.10078930854797,0.668879389762878,0.480608254671097,0.300971806049347,0.127502962946892,2.01438689231873,13.9224119186401,79.3168182373047
2023,6,Netherlands,7.319,7.383,7.256,1.901,1.462,0.706,0.725,0.247,0.372,1.906,..,..
2022,5,Netherlands,7.403,7.46,7.346,1.942,1.488,0.545,0.672,0.251,0.394,2.11,..,138.767501831055
2021,5,Netherlands,7.415,7.471,7.359,1.945,1.206,0.787,0.651,0.271,0.419,2.137,89.3898620605469,135.962173461914
2020,6,Netherlands,7.464,7.518,7.41,1.501,1.079,0.753,0.647,0.302,0.384,2.798,85.3370819091797,136.284164428711
2019,6,Netherlands,7.44890022277832,7.50337219238281,7.39442825317383,1.33894634246826,1.46364593505859,0.975675344467163,0.613626480102539,0.33631756901741,0.368569761514664,2.35211706161499,..,114.804168701172
2023,11,New Zealand,7.029,7.105,6.954,1.81,1.527,0.673,0.746,0.226,0.48,1.567,..,..
2022,10,New Zealand,7.123,7.198,7.048,1.842,1.544,0.513,0.672,0.23,0.471,1.852,77.0104675292969,114.774932861328
2021,10,New Zealand,7.2,7.279,7.12,1.852,1.235,0.752,0.68,0.245,0.483,1.954,79.4128875732422,117.595428466797
2020,10,New Zealand,7.277,7.355,7.198,1.4,1.094,0.785,0.665,0.276,0.445,2.612,75.7348327636719,116.893188476562
2019,8,New Zealand,7.29960012435913,7.37695264816284,7.22224760055542,1.24231791496277,1.48721837997437,1.00813829898834,0.646789908409119,0.325726211071014,0.461268275976181,2.12810802459717,77.5843734741211,120.266319274902
